时间(年-月),供给(元/㎡),关注(元/㎡),价值(元/㎡),供给(万元),关注(万元),供给(套),供给(㎡),关注(㎡),供给(年),关注(年)
2019/3/1,52278 ,51459 ,27772 ,610.20 ,623.20 ,121374 ,107.62 ,104.87 ,56 ,61 
2019/2/1,53234 ,43312 ,27175 ,627.20 ,467.70 ,84323 ,107.90 ,92.81 ,59 ,53 
2019/1/1,53166 ,50664 ,27270 ,603.80 ,540.70 ,100442 ,105.28 ,92.99 ,58 ,56 
2018/12/1,52087 ,47960 ,27249 ,599.80 ,501.20 ,101936 ,106.05 ,97.14 ,57 ,62 
2018/11/1,51620 ,55987 ,27907 ,589.50 ,706.60 ,92406 ,104.90 ,110.94 ,55 ,55 
2018/10/1,51471 ,60378 ,27502 ,578.40 ,803.20 ,124110 ,102.57 ,113.30 ,56 ,57 
2018/9/1,52120 ,50878 ,27618 ,586.80 ,552.80 ,127647 ,102.30 ,98.20 ,57 ,64 
2018/8/1,53848 ,51675 ,27123 ,625.90 ,571.20 ,145372 ,104.51 ,99.12 ,60 ,64 
2018/7/1,53675 ,51702 ,26813 ,619.60 ,573.90 ,176372 ,106.09 ,99.98 ,60 ,67 
2018/6/1,52319 ,50957 ,26464 ,595.60 ,563.50 ,123653 ,104.77 ,99.73 ,59 ,67 
2018/5/1,51878 ,51954 ,26051 ,592.10 ,583.20 ,135380 ,105.28 ,101.52 ,60 ,67 
2018/4/1,51968 ,51361 ,25201 ,592.90 ,545.40 ,130283 ,104.66 ,97.25 ,62 ,68 
2018/3/1,52826 ,52430 ,24322 ,592.50 ,571.40 ,162244 ,103.93 ,99.40 ,65 ,70 
2018/2/1,55853 ,56003 ,24936 ,638.10 ,645.50 ,82020 ,105.70 ,105.05 ,67 ,77 
2018/1/1,54801 ,52409 ,24316 ,615.40 ,572.00 ,113493 ,103.18 ,97.58 ,68 ,70 
2017/12/1,51897 ,50319 ,23747 ,569.50 ,534.70 ,109469 ,101.24 ,96.45 ,66 ,67 
2017/11/1,52796 ,50586 ,23545 ,596.80 ,552.60 ,105421 ,105.51 ,97.65 ,67 ,69 
2017/10/1,52499 ,51352 ,23070 ,626.00 ,592.60 ,137539 ,111.33 ,102.20 ,68 ,63 
2017/9/1,52866 ,58159 ,22851 ,672.80 ,734.60 ,167512 ,119.26 ,114.57 ,69 ,66 
2017/8/1,52339 ,58297 ,22706 ,660.60 ,783.90 ,167141 ,118.66 ,120.38 ,69 ,66 
2017/7/1,51829 ,55777 ,23024 ,606.10 ,733.30 ,204096 ,111.19 ,114.99 ,68 ,63 
2017/6/1,48604 ,53833 ,22808 ,538.30 ,673.60 ,119907 ,103.42 ,111.27 ,64 ,62 
2017/5/1,48084 ,51937 ,22298 ,521.90 ,694.70 ,124654 ,102.73 ,114.56 ,65 ,--
2017/4/1,48384 ,52806 ,22571 ,520.30 ,695.10 ,128025 ,103.08 ,116.47 ,64 ,65 
2017/3/1,48114 ,46947 ,21674 ,533.90 ,595.20 ,140203 ,106.11 ,106.94 ,67 ,55 
2017/2/1,49629 ,43634 ,21846 ,546.60 ,567.00 ,107656 ,105.82 ,107.03 ,68 ,52 
2017/1/1,49515 ,44296 ,21836 ,544.60 ,524.30 ,60403 ,104.78 ,102.45 ,68 ,55 
2016/12/1,47625 ,43975 ,22369 ,516.60 ,490.90 ,102539 ,103.21 ,99.73 ,64 ,55 
2016/11/1,47549 ,43164 ,22716 ,529.30 ,468.10 ,118689 ,107.75 ,99.60 ,63 ,55 
2016/10/1,46119 ,43586 ,23394 ,518.40 ,580.80 ,135166 ,109.70 ,117.25 ,59 ,54 
2016/9/1,46199 ,43269 ,23630 ,537.50 ,536.30 ,155419 ,113.25 ,111.35 ,59 ,54 
2016/8/1,44750 ,43099 ,23835 ,521.00 ,541.90 ,215903 ,112.86 ,110.79 ,56 ,54 
2016/7/1,43052 ,38921 ,24427 ,491.20 ,440.70 ,238842 ,110.35 ,101.20 ,53 ,50 
2016/6/1,41865 ,38663 ,24071 ,460.70 ,440.00 ,216427 ,106.44 ,101.86 ,52 ,52 
2016/5/1,40844 ,39671 ,23883 ,452.40 ,482.80 ,225678 ,107.00 ,107.57 ,51 ,53 
2016/4/1,40309 ,38543 ,23910 ,447.40 ,464.30 ,221872 ,107.19 ,105.01 ,51 ,52 
2016/3/1,41095 ,36058 ,24964 ,490.40 ,467.50 ,240285 ,114.49 ,110.93 ,49 ,50 
2016/2/1,38789 ,34386 ,24339 ,458.10 ,424.60 ,111407 ,111.93 ,109.51 ,48 ,48 
2016/1/1,36661 ,32649 ,23820 ,433.50 ,408.70 ,222691 ,111.62 ,109.16 ,46 ,47 
2015/12/1,35320 ,32282 ,23374 ,415.40 ,357.90 ,287628 ,111.02 ,103.06 ,45 ,45 
2015/11/1,34427 ,30774 ,23183 ,411.80 ,356.90 ,268370 ,112.22 ,108.01 ,45 ,41 
2015/10/1,34734 ,29790 ,22677 ,413.80 ,324.40 ,310759 ,113.04 ,102.21 ,46 ,41 
2015/9/1,34177 ,30479 ,22739 ,415.50 ,350.20 ,371991 ,114.31 ,105.03 ,45 ,43 
